,MAC,SSID,Frequncy,Signal,Lat,Lon,Alt,TIME,Approx. w-center algo1,
0,24:c9:a1:35:a5:e8,Ariel_University,6,-94,32.10455337369539,35.20466262833835,654.3815964913138,2017-10-30 12:06:14,Approx. w-center algo1,
1,24:c9:a1:76:5c:33,island-365C30,12,-85,32.10436104963378,35.20454674919917,647.4688735923706,2017-11-01 14:24:05,Approx. w-center algo1,
2,8c:0c:90:2f:ca:48,Ariel_University,11,-88,32.104464641278504,35.204540157054595,656.7496157813908,2017-10-30 23:42:10,Approx. w-center algo1,
3,8c:0c:90:2e:f0:d8,Ariel_University,1,-82,32.10442523894038,35.204593734824094,650.8958537606723,2017-10-30 23:42:12,Approx. w-center algo1,
4,a0:ab:1b:63:40:be,not_your_wifi,2,-96,32.10438548999486,35.20454908167593,656.9352111702414,2017-11-01 14:32:54,Approx. w-center algo1,
5,8c:0c:90:ae:f0:d3,,1,-84,32.104403394317245,35.204537782112595,652.0571735808378,2017-11-01 16:33:54,Approx. w-center algo1,
6,24:c9:a1:36:56:e8,Ariel_University,6,-88,32.10439296350029,35.20455404253949,650.7579541205007,2017-11-01 14:27:52,Approx. w-center algo1,
7,8c:0c:90:30:05:58,Ariel_University,11,-89,32.10443193944186,35.204573853432386,650.5716314729224,2017-11-01 16:31:43,Approx. w-center algo1,
8,24:c9:a1:36:55:f8,Ariel_University,11,-72,32.10436737767239,35.2045637653028,654.4029881147501,2017-11-01 14:32:54,Approx. w-center algo1,
9,24:c9:a1:36:2f:38,Ariel_University,1,-88,32.104487489208644,35.204582906888106,655.0912634739664,2017-10-30 12:06:45,Approx. w-center algo1,
10,24:c9:a1:36:52:f8,Ariel_University,1,-87,32.10438219677045,35.20453995075308,650.9038377986966,2017-10-30 12:07:47,Approx. w-center algo1,
11,24:c9:a1:b6:5c:33,,11,-89,32.10437419621675,35.20457337631533,647.7212694125592,2017-10-30 12:07:49,Approx. w-center algo1,
12,24:c9:a1:33:3d:08,Ariel_University,6,-90,32.104405144824355,35.2045516737381,646.5701600044101,2017-11-01 14:24:03,Approx. w-center algo1,
13,24:c9:a1:35:aa:08,Ariel_University,11,-93,32.10443826491675,35.20454017365704,650.9334073251943,2017-10-30 12:09:54,Approx. w-center algo1,
